asset_code,asset_name,AMC,Code,Scheme_Name,Scheme_Type,Scheme_Category,Scheme_Minimum_Amount,Launch_Date, Closure_Date,ISIN,for_TS
0P0001EI15.BO,HDFC Balanced Advantage Fund - Growth Plan,HDFC Asset Management Company Limited,100119,HDFC Balanced Advantage Fund,Open Ended,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,For new investors  Rs.5000 For existing Rs. 1000,20-Jul-00,10-Aug-00,INF179K01830,Yes
0P0000XW4J.BO,quant Small Cap Fund - Growth Option - Direct Plan,quant Money Managers Limited,120828,Quant Small Cap Fund,Open Ended,Equity Scheme - Small Cap Fund,Rs. 5000/-,23-Sep-96,30-Oct-96,INF966L01689,Yes
0P0000XW89.BO,HDFC Liquid Fund - Growth Option - Direct Plan,HDFC Asset Management Company Limited,119091,HDFC Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,REFER SID,17-Oct-00,,INF179KB1HP9,Yes
0P0000XW4V.BO,quant Mid Cap Fund - Growth Option - Direct Plan,quant Money Managers Limited,120841,Quant Mid Cap Fund,Open Ended,Equity Scheme - Mid Cap Fund,Rs. 5000/-,12-Feb-01,26-Feb-01,INF966L01887,Yes
0P0000XWAI.BO,ICICI Prudential Multi-Asset Fund - Direct Plan - Growth,ICICI Prudential Asset Management Company Limited,120334,ICICI Prudential Multi-Asset Fund,Open Ended,Hybrid Scheme - Multi Asset Allocation,Rs. 5000/- (plus in multiple of Re. 1/-),07-Oct-02,,INF109K015K4,Yes
0P00005WLZ.BO,HDFC Flexi Cap Fund - Growth Plan,HDFC Asset Management Company Limited,101762,HDFC Flexi Cap Fund,Open Ended,Equity Scheme - Flexi Cap Fund,For new investors  Rs.5000 For existing Rs. 1000,08-Dec-94,24-Dec-94,INF179K01608,Yes
0P00009J3K.BO,HDFC Mid-Cap Opportunities Fund - Growth Plan,HDFC Asset Management Company Limited,105758,HDFC Mid-Cap Opportunities Fund,Open Ended,Equity Scheme - Mid Cap Fund,Rs. 5000,07-May-07,08-Jun-07,INF179K01CR2,Yes
0P0000XW4O.BO,quant Infrastructure Fund - Growth Option-Direct Plan,quant Money Managers Limited,120833,Quant Infrastructure Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,Rs. 5000/-,26-Jul-07,24-Aug-07,INF966L01721,Yes
0P0000XWAT.BO,ICICI Prudential Bluechip Fund - Direct Plan - Growth,ICICI Prudential Asset Management Company Limited,120586,ICICI Prudential Bluechip Fund,Open Ended,Equity Scheme - Large Cap Fund,Rs. 5000/- (plus in multiple of Re. 1/-),08-Apr-08,,INF109K016L0,Yes
0P0000XVFY.BO,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon Life India Asset Management Limited,118778,Nippon India Small Cap Fund,Open Ended,Equity Scheme - Small Cap Fund,5000 and in multiples of Re.1/-,26-Aug-10,,INF204K01K15,Yes
0P0000YWL1.BO,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,PPFAS Asset Management Pvt. Ltd.,122639,Parag Parikh Flexi Cap Fund,Open Ended,Equity Scheme - Flexi Cap Fund,1000,13-May-13,21-May-13,INF879O01027,Yes
0P0000XVJO.BO,SBI EQUITY HYBRID FUND - DIRECT PLAN - Growth,SBI Funds Management Limited,119609,SBI EQUITY HYBRID FUND,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,5000,01-Jan-05,01-Jan-05,INF200K01RY0,Yes
0P0000XVL8.BO,SBI Liquid Fund - DIRECT PLAN -Growth,SBI Funds Management Limited,119800,SBI LIQUID FUND,Open Ended,Debt Scheme - Liquid Fund,50000000,22-Mar-07,,INF200K01UT4,Yes
0P0001F5O4.BO,BANK OF INDIA Small Cap Fund Direct Plan Growth,Bank of India Investment Managers Private Limited,145678,BANK OF INDIA SMALL CAP FUND,Open Ended,Equity Scheme - Small Cap Fund,5000,28-Nov-18,12-Dec-18,INF761K01EP7,Yes
0P0001FKEE.BO,CANARA ROBECO SMALL CAP FUND - DIRECT PLAN - GROWTH OPTION,Canara Robeco Asset Management Company Limited,146130,Canara Robeco Small Cap Fund,Open Ended,Equity Scheme - Small Cap Fund,5000,25-Jan-19,08-Feb-19,INF760K01JC6,Yes
